No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions),Original air date [96]
1,1,"""Pilot""",Bharat Nalluri,Jason Rothenberg,"March 19, 2014 (2014-03-19)",296843,2.73[12],
2,2,"""Earth Skills""",Dean White,Jason Rothenberg,"March 26, 2014 (2014-03-26)",2J7052,2.27[13],
3,3,"""Earth Kills""",Dean White,Elizabeth Craft & Sarah Fain,"April 2, 2014 (2014-04-02)",2J7053,1.90[14],
4,4,"""Murphy's Law""",P. J. Pesce,T. J. Brady & Rasheed Newson,"April 9, 2014 (2014-04-09)",2J7054,1.69[15],
5,5,"""Twilight's Last Gleaming""",Milan Cheylov,Bruce Miller,"April 16, 2014 (2014-04-16)",2J7055,1.80[16],
6,6,"""His Sister's Keeper""",Wayne Rose,Tracy Bellomo & Dorothy Fortenberry,"April 23, 2014 (2014-04-23)",2J7056,1.97[17],
7,7,"""Contents Under Pressure""",John Showalter,Akela Cooper & Kira Snyder,"April 30, 2014 (2014-04-30)",2J7057,1.88[18],
8,8,"""Day Trip""",Matt Barber,Story by : Andrei HaqTeleplay by : Elizabeth Craft & Sarah Fain,"May 7, 2014 (2014-05-07)",2J7058,1.64[19],
9,9,"""Unity Day""",John Behring,Kim Shumway & Kira Snyder,"May 14, 2014 (2014-05-14)",2J7059,1.73[20],
10,10,"""I Am Become Death""",Omar Madha,T. J. Brady & Rasheed Newson,"May 21, 2014 (2014-05-21)",2J7060,1.46[21],
11,11,"""The Calm""",Mairzee Almas,Bruce Miller,"May 28, 2014 (2014-05-28)",2J7061,1.71[22],
12,12,"""We Are Grounders – Part I""",Dean White,Tracy Bellmo & Akela Cooper,"June 4, 2014 (2014-06-04)",2J7062,1.58[23],
13,13,"""We Are Grounders – Part II""",Dean White,Jason Rothenberg,"June 11, 2014 (2014-06-11)",2J7063,1.68[24],
14,1,"""The 48""",Dean White,Jason Rothenberg,"October 22, 2014 (2014-10-22)",3J5251,1.55[25],
15,2,"""Inclement Weather""",John F. Showalter,Michael Angeli,"October 29, 2014 (2014-10-29)",3J5252,1.48[26],
16,3,"""Reapercussions""",Dean White,Aaron Ginsburg & Wade McIntyre,"November 5, 2014 (2014-11-05)",3J5253,1.68[27],
17,4,"""Many Happy Returns""",P. J. Pesce,Kim Shumway,"November 12, 2014 (2014-11-12)",3J5254,1.75[28],
18,5,"""Human Trials""",Ed Fraiman,Charlie Craig,"November 19, 2014 (2014-11-19)",3J5255,1.64[29],
19,6,"""Fog of War""",Steven DePaul,Kira Snyder,"December 3, 2014 (2014-12-03)",3J5256,1.86[30],
20,7,"""Long Into an Abyss""",Antonio Negret,James Thorpe,"December 10, 2014 (2014-12-10)",3J5257,1.62[31],
21,8,"""Spacewalker""",John F. Showalter,Bruce Miller,"December 17, 2014 (2014-12-17)",3J5258,1.40[32],
22,9,"""Remember Me""",Omar Madha,Dorothy Fortenberry,"January 21, 2015 (2015-01-21)",3J5259,1.48[33],
23,10,"""Survival of the Fittest""",Dean White,Akela Cooper,"January 28, 2015 (2015-01-28)",3J5260,1.53[34],
24,11,"""Coup de Grace""",P. J. Pesce,Charlie Craig,"February 4, 2015 (2015-02-04)",3J5261,1.51[35],
